,cStatoMD,cConteaMD,nSitMD,dateMD,O3meanMD
496,24.0,5.0,3001.0,2009-03-20,0.023833
497,24.0,5.0,3001.0,2009-03-21,0.026375
498,24.0,5.0,3001.0,2009-03-22,0.030458
499,24.0,5.0,3001.0,2009-03-23,0.038167
500,24.0,5.0,3001.0,2009-03-24,0.024708
501,24.0,5.0,3001.0,2009-03-25,0.03125
502,24.0,5.0,3001.0,2009-03-26,0.019458
503,24.0,5.0,3001.0,2009-03-27,0.023833
504,24.0,5.0,3001.0,2009-03-28,0.031125
505,24.0,5.0,3001.0,2009-03-29,0.030333
506,24.0,5.0,3001.0,2009-03-30,0.030417
507,24.0,5.0,3001.0,2009-03-31,0.02975
508,24.0,5.0,3001.0,2009-04-01,0.018917
509,24.0,5.0,3001.0,2009-04-02,0.025583
510,24.0,5.0,3001.0,2009-04-03,0.04125
511,24.0,5.0,3001.0,2009-04-04,0.046583
512,24.0,5.0,3001.0,2009-04-05,0.044958
513,24.0,5.0,3001.0,2009-04-06,0.031167
514,24.0,5.0,3001.0,2009-04-07,0.037708
515,24.0,5.0,3001.0,2009-04-08,0.031667
516,24.0,5.0,3001.0,2009-04-09,0.029958
